time,2-10 Bond Spread,"SPX, SPCFD: Compare"
2019-05-20T00:00:00Z,0.2,2840.23
2019-05-21T00:00:00Z,0.17,2864.36
2019-05-22T00:00:00Z,0.16,2856.27
2019-05-23T00:00:00Z,0.19,2822.24
2019-05-24T00:00:00Z,0.16,2826.06
2019-05-28T00:00:00Z,0.14,2802.39
2019-05-29T00:00:00Z,0.16,2783.02
2019-05-30T00:00:00Z,0.16,2788.86
2019-05-31T00:00:00Z,0.19,2752.06
2019-06-03T00:00:00Z,0.25,2744.45
2019-06-04T00:00:00Z,0.24,2803.27
2019-06-05T00:00:00Z,0.29,2826.15
2019-06-06T00:00:00Z,0.24,2843.49
2019-06-07T00:00:00Z,0.24,2873.34
2019-06-10T00:00:00Z,0.25,2886.73
2019-06-11T00:00:00Z,0.22,2885.72
2019-06-12T00:00:00Z,0.25,2879.84
2019-06-13T00:00:00Z,0.27,2891.64
2019-06-14T00:00:00Z,0.25,2886.98
2019-06-17T00:00:00Z,0.23,2889.67
2019-06-18T00:00:00Z,0.2,2917.75
2019-06-19T00:00:00Z,0.29,2926.46
2019-06-20T00:00:00Z,0.29,2954.18
2019-06-21T00:00:00Z,0.3,2950.46
2019-06-24T00:00:00Z,0.3,2945.35
2019-06-25T00:00:00Z,0.29,2917.38
2019-06-26T00:00:00Z,0.28,2913.78
2019-06-27T00:00:00Z,0.27,2924.92
2019-06-28T00:00:00Z,0.25,2941.76
2019-07-01T00:00:00Z,0.25,2964.33
2019-07-02T00:00:00Z,0.21,2973.01
2019-07-03T00:00:00Z,0.19,2995.82
2019-07-05T00:00:00Z,0.17,2990.41
2019-07-08T00:00:00Z,0.17,2975.95
2019-07-09T00:00:00Z,0.15,2979.63
2019-07-10T00:00:00Z,0.25,2993.07
2019-07-11T00:00:00Z,0.28,2999.91
2019-07-12T00:00:00Z,0.28,3013.77
2019-07-15T00:00:00Z,0.26,3014.3
2019-07-16T00:00:00Z,0.26,3004.04
2019-07-17T00:00:00Z,0.23,2984.42
2019-07-18T00:00:00Z,0.27,2995.11
2019-07-19T00:00:00Z,0.25,2976.61
2019-07-22T00:00:00Z,0.25,2985.03
2019-07-23T00:00:00Z,0.25,3005.47
2019-07-24T00:00:00Z,0.22,3019.56
2019-07-25T00:00:00Z,0.22,3003.67
2019-07-26T00:00:00Z,0.22,3025.86
2019-07-29T00:00:00Z,0.21,3020.97
2019-07-30T00:00:00Z,0.21,3013.18
2019-07-31T00:00:00Z,0.13,2980.38
2019-08-01T00:00:00Z,0.17,2953.56
2019-08-02T00:00:00Z,0.14,2932.05
2019-08-05T00:00:00Z,0.16,2844.74
2019-08-06T00:00:00Z,0.13,2881.77
2019-08-07T00:00:00Z,0.12,2883.98
2019-08-08T00:00:00Z,0.1,2938.09
2019-08-09T00:00:00Z,0.11,2918.65
2019-08-12T00:00:00Z,0.07,2883.09
2019-08-13T00:00:00Z,0.02,2926.32
2019-08-14T00:00:00Z,0.01,2840.6
2019-08-15T00:00:00Z,0.04,2847.6
2019-08-16T00:00:00Z,0.07,2888.68
2019-08-19T00:00:00Z,0.07,2923.65
2019-08-20T00:00:00Z,0.05,2900.51
2019-08-21T00:00:00Z,0.03,2924.43
2019-08-22T00:00:00Z,0.01,2922.95
2019-08-23T00:00:00Z,0.01,2847.11
2019-08-26T00:00:00Z,0,2878.38
2019-08-27T00:00:00Z,-0.04,2869.16
2019-08-28T00:00:00Z,-0.03,2887.94
2019-08-29T00:00:00Z,-0.03,2924.58
2019-08-30T00:00:00Z,0,2926.46
2019-09-03T00:00:00Z,0,2906.27
2019-09-04T00:00:00Z,0.04,2937.78
2019-09-05T00:00:00Z,0.02,2976
2019-09-06T00:00:00Z,0.02,2978.71
2019-09-09T00:00:00Z,0.05,2978.43
2019-09-10T00:00:00Z,0.05,2979.39
2019-09-11T00:00:00Z,0.07,3000.93
2019-09-12T00:00:00Z,0.07,3009.57
2019-09-13T00:00:00Z,0.11,3007.39
